user_id,timestamp,channel,campaign_id,impressions,clicks,conversions,cost,revenue,session_duration,bounce_rate
user_58555,2025-05-28 05:50:15.853410,Paid Search,Winter Sale,4175,359,12,297.45,1097.32,119,0.88
user_27159,2025-08-12 20:50:15.853415,Organic Search,Fall Cleanup,4686,219,29,0.0,491.5,409,0.62
user_90077,2025-08-18 18:50:15.853420,Social Media,Winter Sale,900,85,48,406.3,1529.1,140,0.78
user_45920,2025-11-14 13:50:15.853425,Social Media,Fall Cleanup,859,256,36,413.39,175.56,193,0.82
user_77121,2025-06-01 16:50:15.853429,Social Media,Summer Promo,1593,325,10,279.8,396.71,444,0.2
user_79479,2025-12-09 11:50:15.853434,Paid Search,Spring Fling,4900,77,6,96.79,1478.76,184,0.84
user_99475,2026-01-30 05:50:15.853438,Organic Search,Spring Fling,4034,322,34,0.0,559.45,223,0.79
user_29457,2025-04-29 06:50:15.853443,Email,None,914,73,10,291.25,986.95,505,0.14
user_76557,2025-10-28 20:50:15.853448,Social Media,Fall Cleanup,4998,191,48,189.59,654.4,50,0.88
user_87189,2026-03-27 18:50:15.853453,Social Media,None,472,89,42,283.44,1013.96,138,0.47
user_88953,2025-10-01 07:50:15.853457,Email,None,3098,352,46,254.25,693.31,428,0.88
user_62995,2026-03-06 11:50:15.853462,Organic Search,Fall Cleanup,2991,212,39,0.0,1988.42,158,0.76
user_50757,2026-02-23 14:50:15.853466,Social Media,Spring Fling,3891,191,47,25.73,714.96,538,0.45
user_19692,2025-06-13 18:50:15.853471,Organic Search,Fall Cleanup,3419,452,20,0.0,1254.1,309,0.51
user_55758,2025-08-02 09:50:15.853477,Social Media,Summer Promo,2289,481,46,363.58,1776.69,456,0.32
user_82409,2025-08-31 20:50:15.853482,Referral,None,2549,223,2,0.0,1275.87,56,0.49
user_81211,2025-06-08 09:50:15.853486,Social Media,None,4067,432,29,329.58,1131.71,373,0.19
user_75697,2026-02-04 00:50:15.853491,Referral,Fall Cleanup,922,129,23,0.0,1138.46,430,0.83
user_47065,2025-05-29 20:50:15.853496,Organic Search,None,321,408,37,0.0,992.92,324,0.67
user_42606,2025-12-19 09:50:15.853500,Social Media,Spring Fling,4037,250,2,419.35,1615.16,596,0.74
user_21534,2025-07-29 23:50:15.853505,Paid Search,None,1487,344,36,212.44,100.85,225,0.52
user_50397,2026-01-10 10:50:15.853510,Paid Search,Fall Cleanup,3988,211,32,312.04,1770.26,185,0.2
user_11016,2025-08-08 05:50:15.853514,Email,Spring Fling,2260,421,21,67.47,1172.58,469,0.53
user_99789,2025-10-01 12:50:15.853519,Paid Search,Spring Fling,3370,301,30,199.33,1697.75,130,0.36
user_65591,2025-09-04 21:50:15.853524,Referral,None,2025,63,45,0.0,20.79,529,0.11
user_99812,2025-06-11 12:50:15.853529,Paid Search,Fall Cleanup,4793,154,11,315.11,1738.55,314,0.59
user_33247,2025-09-06 19:50:15.853535,Paid Search,None,3051,365,44,247.39,240.28,98,0.78
user_34300,2025-11-16 22:50:15.853540,Paid Search,Summer Promo,4680,95,13,96.5,1442.44,415,0.67
user_84065,2025-10-01 01:50:15.853544,Social Media,Summer Promo,4093,480,11,403.54,833.04,481,0.28
user_92798,2025-06-19 13:50:15.853549,Email,Spring Fling,2698,486,26,143.85,1362.14,167,0.76
user_19268,2025-11-12 00:50:15.853554,Organic Search,None,1766,31,12,0.0,1256.38,277,0.35
user_96807,2026-03-09 11:50:15.853558,Email,Summer Promo,3181,340,23,309.69,326.79,132,0.27
user_22185,2026-01-25 13:50:15.853563,Referral,Winter Sale,3985,301,37,0.0,1029.23,539,0.87
user_73704,2025-12-06 03:50:15.853567,Social Media,Summer Promo,4857,245,46,29.9,554.46,404,0.11
user_96779,2026-01-19 17:50:15.853572,Social Media,None,2214,38,47,123.89,1120.87,184,0.23
user_49099,2025-04-08 03:50:15.853577,Paid Search,None,2852,192,8,445.64,1476.01,116,0.47
user_18571,2025-09-04 10:50:15.853581,Paid Search,Summer Promo,3268,435,7,410.81,162.52,511,0.23
user_48044,2025-11-02 08:50:15.853586,Referral,None,1654,169,36,0.0,1031.52,238,0.23
user_61214,2025-09-19 21:50:15.853591,Social Media,None,1180,407,14,238.5,1235.26,207,0.61
user_71228,2025-12-10 22:50:15.853595,Organic Search,Winter Sale,4034,27,6,0.0,590.73,287,0.76
user_58984,2025-10-22 01:50:15.853600,Email,Spring Fling,187,47,23,238.46,1906.01,302,0.63
user_50774,2025-12-18 16:50:15.853605,Social Media,None,2800,110,48,325.71,1040.61,53,0.18
user_12568,2026-02-17 22:50:15.853610,Organic Search,Fall Cleanup,2803,299,15,0.0,365.03,429,0.82
user_72592,2025-10-22 14:50:15.853615,Organic Search,Spring Fling,3059,386,23,0.0,215.58,382,0.84
user_77563,2025-04-16 19:50:15.853619,Email,Spring Fling,2518,182,42,353.94,1083.32,330,0.32
user_12695,2025-04-28 01:50:15.853624,Organic Search,Fall Cleanup,2522,352,6,0.0,750.48,39,0.54
user_58190,2025-11-21 14:50:15.853629,Referral,Summer Promo,4247,425,42,0.0,385.09,72,0.49
user_15258,2025-10-08 14:50:15.853633,Organic Search,Winter Sale,1847,375,27,0.0,61.4,80,0.63
user_97538,2025-11-24 15:50:15.853638,Referral,None,140,76,1,0.0,1133.2,136,0.88
user_49504,2026-01-04 11:50:15.853643,Organic Search,Summer Promo,2238,200,33,0.0,1197.2,264,0.89
user_43159,2025-10-27 10:50:15.853647,Paid Search,Fall Cleanup,138,448,37,352.81,283.61,519,0.51
user_23986,2025-11-04 17:50:15.853652,Organic Search,Winter Sale,3184,52,2,0.0,1203.48,504,0.17
user_71858,2025-12-07 15:50:15.853656,Referral,Winter Sale,3779,132,0,0.0,1903.95,321,0.37
user_22666,2025-06-12 22:50:15.853661,Organic Search,Winter Sale,2251,287,30,0.0,1956.59,510,0.43
user_48660,2025-07-26 23:50:15.853666,Organic Search,Fall Cleanup,4037,352,22,0.0,1776.99,489,0.53
user_13561,2025-06-04 16:50:15.853670,Organic Search,Summer Promo,2190,205,19,0.0,1614.16,454,0.87
user_36854,2026-01-22 20:50:15.853675,Referral,None,308,342,15,0.0,418.74,358,0.31
user_74505,2025-04-04 21:50:15.853680,Organic Search,Winter Sale,699,134,45,0.0,312.87,214,0.53
user_62251,2025-04-03 22:50:15.853685,Email,Winter Sale,704,105,31,481.25,889.9,535,0.33
user_32662,2026-01-01 19:50:15.853690,Email,Summer Promo,2623,387,16,128.27,1239.26,507,0.84
user_18392,2025-11-05 10:50:15.853694,Referral,Winter Sale,3809,166,17,0.0,1701.36,43,0.89
user_40535,2025-09-01 05:50:15.853699,Paid Search,Winter Sale,2256,49,3,291.2,463.93,122,0.8
user_88603,2025-11-03 10:50:15.853703,Email,Fall Cleanup,313,369,34,25.59,959.3,209,0.37
user_62256,2026-02-21 19:50:15.853708,Social Media,Spring Fling,1676,182,39,276.03,1294.88,595,0.32
user_99135,2025-11-15 17:50:15.853713,Email,Summer Promo,2918,384,35,404.91,891.19,334,0.44
user_45222,2025-09-14 14:50:15.853717,Social Media,Summer Promo,2224,403,22,145.3,908.39,504,0.7
user_87373,2025-09-12 08:50:15.853722,Referral,Summer Promo,368,470,14,0.0,450.23,571,0.11
user_89575,2025-08-08 16:50:15.853727,Paid Search,Fall Cleanup,2508,182,12,125.77,1973.32,553,0.9
user_94651,2025-05-27 08:50:15.853731,Social Media,Fall Cleanup,2677,129,13,47.47,950.39,140,0.81
user_73335,2026-02-06 00:50:15.853736,Social Media,None,4878,282,13,88.37,1065.48,444,0.12
user_20965,2025-04-10 08:50:15.853741,Email,Fall Cleanup,4357,367,36,420.13,437.12,450,0.41
user_34538,2026-01-19 21:50:15.853745,Social Media,Summer Promo,4660,395,4,214.48,1028.27,440,0.65
user_80592,2026-04-01 12:50:15.853750,Referral,None,922,410,21,0.0,510.7,552,0.29
user_18110,2025-04-07 18:50:15.853755,Referral,Spring Fling,3735,373,27,0.0,404.67,358,0.21
user_89309,2026-03-04 02:50:15.853759,Referral,Winter Sale,2695,355,44,0.0,551.44,301,0.6
user_37266,2025-12-16 01:50:15.853764,Email,Winter Sale,4053,384,3,405.39,5.52,43,0.82
user_62992,2026-01-03 00:50:15.853769,Paid Search,None,3931,431,49,217.51,1140.3,204,0.86
user_92948,2025-08-26 04:50:15.853774,Email,Spring Fling,2199,430,37,403.0,774.96,187,0.11
user_16910,2025-12-20 16:50:15.853779,Referral,Winter Sale,4683,328,28,0.0,1797.38,263,0.8
user_10206,2025-09-30 22:50:15.853784,Email,None,3702,270,36,321.79,81.41,170,0.55
user_97054,2025-10-22 14:50:15.853788,Referral,Fall Cleanup,3567,290,34,0.0,86.4,510,0.29
user_97897,2026-03-02 17:50:15.853793,Organic Search,Summer Promo,750,338,19,0.0,1771.75,148,0.59
user_33419,2025-04-23 01:50:15.853798,Organic Search,Spring Fling,1734,133,34,0.0,253.29,411,0.9
user_60636,2025-06-29 05:50:15.853803,Social Media,Winter Sale,4914,485,34,306.07,4.32,550,0.32
user_60015,2025-12-22 22:50:15.853808,Paid Search,Summer Promo,1267,287,19,222.3,357.83,439,0.32
user_64268,2025-05-17 03:50:15.853813,Organic Search,None,4176,102,1,0.0,1647.75,78,0.66
user_97939,2025-10-03 03:50:15.853818,Referral,Winter Sale,298,456,17,0.0,1605.43,399,0.13
user_28141,2025-05-02 20:50:15.853823,Email,Summer Promo,1455,44,29,75.77,680.26,362,0.76
user_90356,2026-03-12 07:50:15.853828,Email,Fall Cleanup,3605,320,41,420.12,1336.06,178,0.62
user_81910,2025-12-25 00:50:15.853833,Social Media,Spring Fling,902,137,28,377.38,1014.5,186,0.77
user_66044,2025-09-07 05:50:15.853837,Email,None,800,29,38,197.35,1809.47,181,0.28
user_77214,2025-09-24 22:50:15.853843,Organic Search,Winter Sale,602,270,21,0.0,112.85,490,0.78
user_43827,2025-07-03 20:50:15.853848,Email,Fall Cleanup,4664,176,28,49.58,1626.36,405,0.46
user_65820,2026-01-03 00:50:15.853852,Organic Search,Spring Fling,2513,328,45,0.0,341.2,454,0.21
user_72623,2025-11-09 07:50:15.853858,Organic Search,Spring Fling,4819,245,9,0.0,783.24,77,0.82
user_91734,2025-04-30 21:50:15.853862,Paid Search,Fall Cleanup,3067,41,19,421.04,383.91,364,0.66
user_85450,2026-01-15 00:50:15.853867,Social Media,Winter Sale,2970,240,15,192.66,1405.23,584,0.23
user_32299,2025-07-15 10:50:15.853872,Referral,Spring Fling,4858,200,5,0.0,1356.65,498,0.3
user_53585,2026-03-19 22:50:15.853878,Organic Search,None,4946,339,16,0.0,1095.8,274,0.32
user_74044,2026-01-20 22:50:15.853883,Social Media,Summer Promo,3567,433,5,421.67,1396.33,291,0.87
user_52557,2025-05-28 00:50:15.853887,Referral,None,1518,154,21,0.0,1279.13,279,0.81
user_59080,2025-08-04 16:50:15.853892,Email,Spring Fling,1198,110,17,384.78,1552.88,526,0.38
user_12693,2025-10-22 07:50:15.853897,Social Media,Summer Promo,3269,88,31,48.5,478.81,81,0.47
user_79163,2025-09-17 15:50:15.853902,Social Media,Fall Cleanup,482,466,27,299.11,857.83,518,0.33
user_35939,2026-02-03 20:50:15.853906,Social Media,Summer Promo,4040,169,41,279.64,303.25,171,0.69
user_58925,2025-08-29 11:50:15.853911,Email,Summer Promo,1493,264,9,308.89,859.19,401,0.23
user_52941,2026-03-07 22:50:15.853916,Email,Summer Promo,3427,288,40,350.86,1403.38,280,0.37
user_31834,2026-03-28 17:50:15.853921,Social Media,Spring Fling,1752,468,21,459.87,1382.78,343,0.58
user_28047,2025-09-16 19:50:15.853926,Paid Search,Winter Sale,4371,197,27,394.98,1418.85,254,0.8
user_36105,2025-11-08 09:50:15.853930,Organic Search,Spring Fling,4423,470,14,0.0,617.54,85,0.61
user_85766,2025-07-03 23:50:15.853935,Email,Winter Sale,2494,219,42,414.69,1324.43,368,0.85
user_25707,2026-03-21 06:50:15.853945,Paid Search,Fall Cleanup,2138,250,28,69.82,734.93,550,0.84
user_31976,2026-02-17 14:50:15.853950,Email,Fall Cleanup,2085,65,6,314.88,1888.98,529,0.67
user_54262,2026-03-15 02:50:15.853955,Social Media,Fall Cleanup,1362,146,49,442.55,686.73,513,0.32
user_33776,2025-08-07 01:50:15.853960,Paid Search,Fall Cleanup,1811,115,33,59.55,1206.04,193,0.65
user_40080,2025-05-01 10:50:15.853964,Referral,Fall Cleanup,449,78,31,0.0,1500.29,470,0.25
user_76842,2025-12-24 10:50:15.853969,Organic Search,None,4126,199,1,0.0,1812.81,162,0.37
user_71373,2025-12-01 21:50:15.853974,Organic Search,Spring Fling,540,201,25,0.0,875.86,110,0.71
user_16776,2026-02-18 05:50:15.853979,Email,Winter Sale,2908,287,44,161.36,720.97,379,0.78
user_65016,2025-05-20 20:50:15.853984,Organic Search,Fall Cleanup,2662,41,10,0.0,860.06,163,0.43
user_19474,2025-05-11 02:50:15.853988,Referral,None,3252,184,24,0.0,647.39,81,0.52
user_68053,2026-02-12 12:50:15.853993,Paid Search,None,1484,267,18,108.83,1307.85,523,0.41
user_31959,2025-04-13 09:50:15.853998,Paid Search,None,387,132,19,294.01,1865.43,231,0.48
user_15530,2025-11-13 07:50:15.854003,Social Media,Spring Fling,2155,94,32,50.79,252.14,537,0.51
user_13748,2025-05-23 23:50:15.854008,Paid Search,Fall Cleanup,1097,485,16,116.77,1121.84,43,0.65
user_23545,2025-08-07 09:50:15.854013,Email,None,2433,445,29,384.03,1795.3,414,0.7
user_76199,2025-06-10 21:50:15.854018,Referral,None,1522,225,17,0.0,200.23,230,0.88
user_44766,2025-08-25 21:50:15.854023,Social Media,Fall Cleanup,173,225,31,493.03,987.73,194,0.45
user_83530,2025-09-25 09:50:15.854027,Email,Spring Fling,1562,23,39,255.4,1730.46,590,0.17
user_71087,2025-04-22 00:50:15.854032,Email,None,3294,46,44,263.1,1800.9,162,0.65
user_78840,2025-09-21 10:50:15.854037,Email,Winter Sale,2305,36,3,27.79,1028.7,148,0.5
user_64384,2025-07-31 05:50:15.854042,Organic Search,Summer Promo,529,161,31,0.0,49.9,515,0.77
user_61005,2025-06-26 22:50:15.854047,Email,Summer Promo,1571,73,18,95.37,211.28,212,0.22
user_56576,2025-10-14 04:50:15.854052,Organic Search,Summer Promo,3581,79,2,0.0,1173.43,487,0.62
user_49353,2026-02-17 11:50:15.854056,Paid Search,Spring Fling,3280,163,37,203.88,247.72,364,0.47
user_72003,2025-07-13 06:50:15.854061,Organic Search,None,1830,447,27,0.0,298.84,591,0.44
user_93211,2025-04-03 18:50:15.854066,Email,Summer Promo,135,262,37,325.22,1544.23,260,0.55
user_62733,2025-12-21 03:50:15.854071,Referral,Summer Promo,1120,280,5,0.0,1501.38,340,0.65
user_75318,2025-11-28 21:50:15.854075,Referral,Fall Cleanup,2097,38,39,0.0,1685.55,32,0.78
user_99474,2025-06-21 03:50:15.854080,Paid Search,None,2860,493,16,254.8,211.47,110,0.29
user_33664,2025-08-15 19:50:15.854085,Email,None,3217,83,41,397.33,396.29,304,0.33
user_77172,2025-09-17 16:50:15.854090,Organic Search,Fall Cleanup,2635,293,4,0.0,1665.92,417,0.54
user_95616,2025-08-25 06:50:15.854094,Referral,None,4814,68,18,0.0,1442.18,374,0.38
user_36736,2026-02-02 11:50:15.854099,Social Media,Winter Sale,4365,252,42,163.48,1611.91,248,0.55
user_10854,2025-10-14 00:50:15.854104,Email,Spring Fling,245,338,41,114.07,1979.49,92,0.26
user_48623,2025-11-03 08:50:15.854108,Email,Fall Cleanup,4615,158,34,71.65,1728.86,469,0.35
user_17392,2025-04-18 07:50:15.854113,Social Media,Summer Promo,4768,19,21,195.01,1040.93,56,0.36
user_65680,2025-12-01 23:50:15.854118,Referral,None,1126,141,23,0.0,621.54,410,0.89
user_56717,2025-12-16 09:50:15.854123,Social Media,Winter Sale,3765,71,9,45.65,1139.35,277,0.78
user_97092,2025-12-30 14:50:15.854127,Paid Search,Winter Sale,1386,397,1,305.87,1277.17,183,0.77
user_60859,2026-03-28 03:50:15.854133,Organic Search,Spring Fling,2946,392,27,0.0,670.62,239,0.51
user_36309,2025-11-07 22:50:15.854138,Organic Search,Winter Sale,420,271,40,0.0,1541.87,51,0.47
user_97455,2025-12-28 04:50:15.854142,Referral,None,4195,227,36,0.0,185.51,48,0.16
user_73734,2025-08-17 03:50:15.854147,Social Media,None,2393,241,16,140.51,1558.79,538,0.26
user_80467,2025-09-03 07:50:15.854152,Email,Winter Sale,1712,345,5,20.98,64.0,458,0.82
user_62662,2025-12-11 13:50:15.854157,Email,None,576,81,42,418.44,995.93,66,0.52
user_22688,2025-05-15 03:50:15.854161,Email,None,3264,485,4,37.3,1722.87,436,0.89
user_35342,2025-11-15 02:50:15.854166,Paid Search,Summer Promo,1926,25,38,110.76,172.99,453,0.57
user_47157,2025-12-28 09:50:15.854171,Paid Search,Fall Cleanup,882,47,6,276.78,1035.48,367,0.4
user_77863,2025-05-01 04:50:15.854175,Email,None,4728,186,31,97.41,318.78,300,0.32
user_62083,2025-08-31 13:50:15.854180,Referral,None,2047,454,3,0.0,1789.63,491,0.83
user_75733,2025-06-15 15:50:15.854185,Paid Search,Spring Fling,3431,330,20,390.81,1664.69,344,0.4
user_99045,2025-09-21 17:50:15.854189,Paid Search,Fall Cleanup,4774,391,41,380.33,1867.83,87,0.22
user_44698,2025-11-03 21:50:15.854194,Organic Search,Fall Cleanup,1693,92,31,0.0,1749.96,405,0.32
user_90623,2025-07-30 02:50:15.854198,Organic Search,Fall Cleanup,1847,443,17,0.0,1473.11,485,0.62
user_32671,2025-07-26 03:50:15.854203,Referral,Winter Sale,2133,26,32,0.0,369.78,436,0.21
user_35184,2026-03-31 04:50:15.854208,Paid Search,Summer Promo,356,378,13,184.09,605.01,414,0.17
user_52107,2025-05-22 01:50:15.854213,Paid Search,Summer Promo,3091,165,5,336.75,993.71,85,0.47
user_96202,2026-01-05 23:50:15.854217,Social Media,Spring Fling,1517,181,10,69.79,1177.79,488,0.17
user_61663,2025-08-20 19:50:15.854222,Referral,Fall Cleanup,4214,405,45,0.0,1564.37,504,0.41
user_25708,2025-12-11 04:50:15.854227,Referral,Fall Cleanup,209,79,19,0.0,453.92,545,0.36
user_59811,2025-05-08 14:50:15.854232,Social Media,None,2652,80,28,31.36,256.55,46,0.41
user_12811,2025-09-12 18:50:15.854236,Social Media,Winter Sale,1157,264,34,55.98,965.22,462,0.49
user_66250,2025-11-28 22:50:15.854241,Organic Search,Winter Sale,4450,465,15,0.0,315.68,266,0.25
user_82082,2026-01-23 22:50:15.854246,Referral,Spring Fling,4833,140,47,0.0,1387.47,336,0.45
user_44754,2025-07-20 14:50:15.854251,Referral,Summer Promo,2142,58,6,0.0,1151.26,462,0.39
user_21411,2026-03-04 11:50:15.854255,Social Media,Fall Cleanup,2281,30,39,405.39,1482.22,53,0.74
user_12911,2025-08-08 13:50:15.854260,Email,Spring Fling,4592,401,35,242.16,126.87,329,0.66
user_77270,2026-03-09 03:50:15.854265,Email,Winter Sale,3658,329,43,247.42,1929.4,267,0.8
user_93763,2025-09-09 03:50:15.854270,Organic Search,Winter Sale,1721,229,43,0.0,0.01,521,0.64
user_18680,2025-05-23 14:50:15.854274,Email,Winter Sale,3758,196,30,187.36,650.88,317,0.2
user_94896,2025-11-27 04:50:15.854279,Email,Fall Cleanup,2794,423,41,183.07,1359.27,444,0.51
user_93879,2026-03-08 23:50:15.854285,Email,Fall Cleanup,3984,41,43,380.89,90.28,429,0.69
user_81295,2025-04-12 17:50:15.854290,Paid Search,Fall Cleanup,4880,212,42,392.22,166.7,445,0.77
user_98614,2026-02-14 11:50:15.854294,Organic Search,None,3384,285,42,0.0,153.36,512,0.25
user_21111,2025-07-11 10:50:15.854299,Social Media,Summer Promo,2266,251,46,80.46,1163.02,280,0.28
user_47504,2026-03-22 16:50:15.854304,Email,Winter Sale,3986,25,5,114.42,1791.85,429,0.79
user_11802,2025-09-01 00:50:15.854309,Paid Search,Winter Sale,4497,418,28,182.28,1110.87,170,0.49
user_18155,2025-09-06 11:50:15.854314,Email,None,4422,325,26,152.81,1207.14,407,0.46
user_83656,2025-05-06 03:50:15.854318,Paid Search,Winter Sale,4551,182,42,337.57,692.0,149,0.5
user_49384,2026-02-08 02:50:15.854323,Organic Search,Winter Sale,4896,146,1,0.0,37.48,367,0.24
user_57254,2025-07-04 20:50:15.854328,Email,Fall Cleanup,3492,188,21,104.12,43.23,479,0.6
user_31918,2025-08-02 19:50:15.854333,Paid Search,Fall Cleanup,2370,368,8,285.86,1776.62,190,0.75
user_95981,2025-09-27 21:50:15.854337,Referral,Summer Promo,3811,70,10,0.0,205.14,134,0.77
user_70713,2025-07-15 01:50:15.854342,Referral,Winter Sale,1686,433,15,0.0,1999.58,121,0.12
user_40306,2025-08-06 21:50:15.854347,Paid Search,Spring Fling,1314,113,44,314.17,328.85,514,0.67
user_26646,2025-06-09 01:50:15.854352,Email,Winter Sale,1745,326,12,447.86,1349.27,448,0.17
user_56843,2025-09-27 00:50:15.854357,Email,Winter Sale,1450,204,17,104.22,1897.91,450,0.87
user_26371,2025-07-31 11:50:15.854362,Organic Search,Summer Promo,3298,265,24,0.0,724.58,581,0.49
user_87371,2025-05-22 22:50:15.854367,Organic Search,Spring Fling,464,473,32,0.0,1468.87,83,0.72
user_12049,2026-01-21 06:50:15.854372,Social Media,Winter Sale,4039,85,9,203.12,701.71,543,0.6
user_41616,2025-09-23 22:50:15.854376,Organic Search,Spring Fling,4714,280,29,0.0,609.88,126,0.86
user_30932,2026-01-30 05:50:15.854381,Email,Fall Cleanup,3299,190,48,67.37,403.61,597,0.88
user_39855,2026-03-22 00:50:15.854386,Social Media,Fall Cleanup,1726,141,0,283.87,1641.87,214,0.32
user_71434,2025-07-23 02:50:15.854390,Organic Search,Spring Fling,3301,160,32,0.0,514.77,462,0.49
user_82694,2026-03-16 20:50:15.854395,Paid Search,Winter Sale,1745,164,48,498.74,566.32,500,0.5
user_53016,2025-06-14 16:50:15.854400,Referral,Spring Fling,1081,368,14,0.0,1997.94,154,0.24
user_17400,2026-03-26 08:50:15.854405,Organic Search,Spring Fling,2495,244,28,0.0,654.62,363,0.82
user_52642,2026-01-02 21:50:15.854409,Organic Search,Fall Cleanup,2136,257,1,0.0,845.55,293,0.38
